,words,count
0,say,1182
1,get,1173
2,like,1149
3,write,1145
4,drink,1085
5,use,1085
6,make,1013
7,one,991
8,food,987
9,sugar,869
10,fruit,805
11,go,785
12,also,713
13,time,703
14,day,703
15,water,629
16,orange,606
17,well,604
18,singapore,599
19,take,574
20,need,545
21,eat,544
22,people,520
23,good,513
24,year,510
25,rt,491
26,would,478
27,even,467
28,want,438
29,come,437
30,add,429
31,give,427
32,know,418
33,new,412
34,think,394
35,still,388
36,high,382
37,look,380
38,many,376
39,see,367
40,diet,365
41,much,361
42,try,361
43,help,359
44,love,354
45,health,341
46,work,339
47,sent,319
48,hour,313
49,low,310
50,gagt,299
51,fresh,298
52,weight,281
53,oil,280
54,fat,279
55,taste,277
56,back,276
57,first,275
58,may,273
59,per,273
60,way,271
61,healthy,266
62,buy,266
63,really,262
64,last,253
65,apple,252
66,big,250
67,best,247
68,long,247
69,sell,238
70,never,236
71,every,236
72,start,235
73,keep,234
74,include,234
75,put,232
76,life,230
77,lemon,229
78,coconut,228
79,thing,227
80,machine,225
81,could,221
82,milk,219
83,china,217
84,tea,215
85,chicken,215
86,feel,211
87,share,209
88,let,207
89,daily,204
90,meat,203
91,white,203
92,cup,201
93,must,199
94,sauce,197
95,order,196
96,free,196
97,right,195
98,old,195
99,rice,195
100,inside,193
101,power,193
102,bad,191
103,post,190
104,run,190
105,lot,189
106,less,188
107,clean,187
108,serve,186
109,stall,186
110,school,185
111,show,185
112,cut,184
113,cause,184
114,lose,183
115,friend,183
116,always,182
117,week,182
118,body,181
119,home,179
120,full,178
121,ask,177
122,small,177
123,sure,177
124,woman,175
125,end,175
126,beef,175
127,call,174
128,already,173
129,drinking,173
130,two,171
131,problem,170
132,price,169
133,egg,169
134,actually,169
135,study,167
136,etc,167
137,research,164
138,squeeze,164
139,since,164
140,dish,164
141,chinese,163
142,around,163
143,place,162
144,bottle,162
145,news,162
146,find,162
147,sweet,161
148,lime,161
149,store,160
150,calorie,158
151,without,158
152,month,158
153,another,157
154,part,157
155,loss,157
156,enough,157
157,little,157
158,hand,157
159,great,156
160,child,156
161,change,156
162,mean,155
163,might,154
164,top,154
165,dr,154
166,stop,153
167,money,153
168,yesterday,152
169,company,151
170,bring,149
171,talk,149
172,set,147
173,become,146
174,rm,146
175,creative,145
176,man,145
177,issue,145
178,amp,144
179,world,144
180,check,143
181,cane,143
182,ingredient,142
183,cost,141
184,hot,141
185,product,141
186,ice,140
187,lah,139
188,red,139
189,government,139
190,real,138
191,minute,138
192,found,138
193,turn,138
194,point,138
195,face,136
196,case,135
197,raw,135
198,next,134
199,green,134
200,meal,134
201,gallon,134
202,different,133
203,whole,133
204,ah,133
205,though,132
206,paper,132
207,pay,131
208,level,131
209,service,131
210,follow,131
211,country,131
212,base,131
213,coffee,130
214,maybe,130
215,away,129
216,skin,129
217,diabetes,128
218,instead,128
219,dry,128
220,tax,128
221,someone,127
222,carrot,126
223,family,126
224,reduce,126
225,wine,125
226,natural,124
227,half,124
228,sg,124
229,system,124
230,essay,124
231,treat,123
232,fry,123
233,salt,123
234,type,122
235,today,122
236,quite,122
237,bit,122
238,tell,121
239,mix,120
240,something,120
241,plant,120
242,enjoy,119
243,disease,119
244,slice,119
245,nice,118
246,vegetable,117
247,morning,117
248,million,117
249,flow,116
250,fake,116
251,least,116
252,black,115
253,blood,115
254,side,115
255,provide,114
256,hard,114
257,yes,114
258,heat,114
259,cold,113
260,together,113
261,process,113
262,mango,113
263,later,112
264,increase,112
265,believe,112
266,box,111
267,brand,111
268,malaysia,111
269,left,111
270,pineapple,111
271,learn,111
272,lol,110
273,public,110
274,dinner,109
275,ginger,109
276,local,108
277,treatment,107
278,group,107
279,plan,107
280,state,107
281,fast,107
282,healthier,106
283,breakfast,106
284,battery,106
285,risk,106
286,person,105
287,others,105
288,area,105
289,brain,104
290,test,103
291,house,103
292,everyone,103
293,till,103
294,cook,103
295,carb,103
296,told,102
297,saw,102
298,bowl,102
299,recipe,102
300,available,101
301,choice,101
302,kind,101
303,open,101
304,garlic,101
305,read,101
306,bean,101
307,review,101
308,charge,100
309,choose,100
310,na,100
311,course,99
312,party,99
313,night,99
314,market,99
315,term,99
316,seem,99
317,cooking,99
318,trump,99
319,president,99
320,support,98
321,far,98
322,ok,98
323,pressure,98
324,bar,97
325,package,97
326,quote,97
327,job,97
328,number,97
329,easy,97
330,worth,96
331,travel,96
332,remove,96
333,owner,96
334,room,96
335,piece,96
336,doctor,95
337,pork,95
338,sign,95
339,ever,94
340,amount,94
341,yet,94
342,win,94
343,report,94
344,result,94
345,fridge,94
346,nothing,93
347,energy,93
348,heart,92
349,flavour,92
350,video,92
351,girl,92
352,medium,92
353,leave,92
354,onion,92
355,mr,92
356,head,92
357,liao,92
358,bro,91
359,happy,91
360,wait,91
361,pandan,91
362,young,91
363,grow,91
364,tan,91
365,nutrition,91
366,current,91
367,glass,90
368,happen,90
369,cb,90
370,kid,90
371,sale,90
372,bought,90
373,source,90
374,cancer,90
375,cable,90
376,vitamin,89
377,drop,89
378,sometimes,89
379,everything,89
380,la,89
381,app,89
382,cream,89
383,watch,89
384,fish,89
385,protein,89
386,pretty,88
387,lead,88
388,ban,88
389,juiced,87
390,centre,87
391,create,87
392,hope,87
393,deal,87
394,soft,86
395,walk,86
396,hawker,85
397,idea,85
398,fill,85
399,age,85
400,fact,85
401,large,85
402,usually,85
403,chilli,85
404,rate,85
405,tree,84
406,thanks,84
407,please,84
408,thought,84
409,tomato,84
410,ago,84
411,soup,84
412,bread,84
413,retrograde,84
414,consume,83
415,class,83
416,business,83
417,especially,83
418,land,83
419,stir,83
420,expensive,82
421,mind,82
422,condition,82
423,guy,82
424,leh,82
425,able,82
